City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Launceston,AU,73.99,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
334,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
341,Moussoro,TD,83.55,few clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
342,Nisia Floresta,BR,78.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
346,Port Macquarie,AU,71.6,light rain,-31.4333,152.9167,Rydges Port Macquarie
356,La Libertad,EC,77.4,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
357,Pokaran,IN,84.22,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
362,San Francisco Del Mar,MX,76.05,scattered clouds,16.2333,-94.65,NaN
364,Ambovombe,MG,71.82,clear sky,-25.1667,46.0833,RELAHARA
368,Petatlan,MX,72.86,clear sky,17.5167,-101.2667,Hotel California Petatlán
370,Keffi,NG,73.4,few clouds,8.8486,7.8736,Imam Family
376,Natal,BR,78.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
377,Cidreira,BR,76.86,scattered clouds,-30.1811,-50.2056,Hotel Castelo
378,Benjamin Constant,BR,75.2,few clouds,-4.3831,-70.0311,CASA AVALIADA
380,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
384,Ouahigouya,BF,82.69,broken clouds,13.5828,-2.4216,Hotel Liberte
385,Sabang,ID,83.71,overcast clouds,5.8933,95.3214,Hotel Citra
386,Broken Hill,AU,73.4,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
391,Nortelandia,BR,71.69,broken clouds,-14.4547,-56.8028,Hotel Karysmã
392,Pochutla,MX,73.35,few clouds,15.7432,-96.4661,Hotel Posada San Jose
393,Beyla,GN,70.95,light rain,8.6833,-8.6333,DIAN SINKO
402,Puerto Escondido,MX,77.67,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
403,Gbarnga,LR,70.84,broken clouds,6.9956,-9.4722,Passion Hotel 2
407,Vila Velha,BR,81.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
415,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
418,Yangjiang,CN,73.51,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
420,Khawhai,IN,76.39,overcast clouds,23.3667,93.1167,Homestay Khawhai
427,Uthal,PK,74.82,clear sky,25.8072,66.6219,Al Madina Hotal
431,Kibala,TD,82.4,clear sky,9.1104,18.3463,NaN
441,Garoua,CM,79.18,overcast clouds,9.3,13.4,Hotel De L'Amitie
448,Saint-Georges,GD,77.0,few clouds,12.0564,-61.7485,Siesta Hotel
450,Paracuru,BR,82.0,few clouds,-3.41,-39.0306,Hotel Vento Brasil
452,Kpalime,TG,75.33,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
455,Makakilo City,US,78.8,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
462,Tharad,IN,81.16,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
463,Kununurra,AU,77.0,light rain,-15.7667,128.7333,Hotel Kununurra
474,Sironj,IN,81.84,clear sky,24.1,77.7,shri shyam palace sironj
478,Nabire,ID,78.13,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
481,Lima,PE,71.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
482,Umm Lajj,SA,80.15,clear sky,25.0213,37.2685,Moon light Furnished Units
